2edge2,1.0,0.0
2edge1,1.0,0.0
2core,1.0,0.0
gw2,1.0,0.0
edge1,1.0,0.0
core,1.0,0.0
gw1,1.0,0.0
edge2,1.0,0.0
gw1,1.0,0.0
inter,1.0,0.0
gw2,1.0,0.0
2edge2,2.0,0.0
2edge1,2.0,0.0
2core,2.0,0.0
gw2,2.0,0.0
edge1,2.0,0.0
core,2.0,0.0
gw1,2.0,0.0
edge2,2.0,0.0
gw1,2.0,0.0
inter,2.0,0.0
gw2,2.0,0.0
2edge2,3.0,0.0
2edge1,3.0,0.0
2core,3.0,0.0
gw2,3.0,0.005359583333333345
edge1,3.0,0.0
core,3.0,0.007633333333333331
gw1,3.0,0.018672222222222225
edge2,3.0,0.007633333333333331
gw1,3.0,0.0
inter,3.0,0.014879138888888897
gw2,3.0,0.0
2edge2,4.0,0.0
2edge1,4.0,0.00763333333333334
2core,4.0,0.00763333333333334
gw2,4.0,0.01726263888888888
edge1,4.0,0.0
core,4.0,0.0
gw1,4.0,0.018805555555555558
edge2,4.0,0.0
gw1,4.0,0.0
inter,4.0,0.019004166666666666
gw2,4.0,0.0
